ISSN,Journal.Impact.Factor
0028-0836,41.577
0036-8075,41.058
2041-1723,12.353
2375-2548,11.511
0027-8424,9.504
2095-5138,9.408
2047-217X,7.267
2052-4463,5.311
2090-1232,4.327
0077-8923,4.277
2095-9273,4.136
2045-2322,4.122
1742-5689,3.355
1759-2879,3.218
1932-6203,2.766
1364-503X,2.748
2054-5703,2.504
1364-5021,2.41
2167-8359,2.118
2373-8065,2
1353-3452,1.859
1076-2787,1.829
0028-1042,1.789
0386-2208,1.771
1454-9069,1.752
0218-348X,1.629
0036-8733,1.579
0218-1274,1.501
2073-8994,1.256
0038-2353,1.191
1940-087X,1.184
0970-4140,1.151
0303-6758,1.147
0973-5348,1.101
0036-8504,1.098
2193-567X,1.092
0748-5492,1.03
2037-4631,0.986
0001-3765,0.956
2155-3769,0.907
0011-3891,0.883
1736-6046,0.843
0219-5259,0.769
1026-0226,0.757
1028-6276,0.757
0369-8203,0.754
2307-4108,0.693
0126-6039,0.565
0890-3670,0.537
0003-0996,0.525
0250-541X,0.519
0011-748X,0.51
0160-9327,0.5
0372-1426,0.5
1019-3316,0.472
1905-7873,0.469
1513-1874,0.447
0125-2526,0.409
0262-4079,0.386
0308-0188,0.311
1391-4588,0.305
1310-1331,0.27
1806-2563,0.231
0746-9179,0.109
